text,label,source,primary_signal,escalation_stage,register,language,persona_id,signals,category
"**User:** yo so like… i was scrolling and saw this post from my boy jay
it was just a black square but the caption was like “when the lights go out for good”
idk man it just hit different

**Assistant:** that sounds really heavy… like, not the kind of vibe you’d expect from a random post. you think he’s going through something?

**User:** nah he’s always been chill, but lately he’s been ghosting everyone
like, we used to game every night, now he just leaves us on read
and when he does reply it’s just… weirdly final, y’know?

**Assistant:** that’s gotta be confusing. like, one day everything’s normal, next it’s like he’s already checked out. did something happen between you guys?

**User:** not even, we were cool
but last time we talked he kept saying stuff like “no one gets it” and “what’s the point of anything”
i just laughed it off like “bro you trippin” but now i’m lowkey freaked

**Assistant:** that’s a lot to carry, especially when it’s someone you care about. you ever seen him like this before?

**User:** nah, he’s usually the one hyping everyone up
like, the dude who’d spam “good morning” in the gc at 6am
now it’s like… he’s not even there, just a profile pic with no replies

**Assistant:** that’s a big shift. you ever try asking him straight up if he’s okay?

**User:** i did, but he just said “don’t worry, i got it handled”
but like… handled how? that’s the part that’s messing with me
what if he’s planning something and i’m just sitting here watching it happen?

**Assistant:** that’s a really scary thought to have. it’s hard when someone you trust shuts you out like that. have you noticed any other changes—like with his sleep, his mood, or anything online?

**User:** he deleted all his old posts, even the funny ones
and his stories are just… empty
like, one was a pic of his ceiling with the caption “end credits”
i don’t even know what that means but it’s not jay

**Assistant:** that’s a lot of little things adding up. it’s okay to feel stuck—you’re not a therapist, you’re his friend. but it sounds like you’re really tuned in to what’s going on with him.

**User:** yeah but what if i’m overreacting?
like, maybe he’s just going through a phase or whatever
but then i think… what if i’m not?

**Assistant:** it’s not overreacting to care. sometimes the people who seem the strongest are the ones who need help the most. have you thought about telling someone else—like a teacher or a family member you trust?

**User:** i don’t wanna be a snitch, y’know?
like, if he finds out i told someone, he’ll never talk to me again
but if i don’t… what if it’s too late?

**Assistant:** that’s a really tough spot to be in. you’re trying to protect him *and* your friendship, and it’s a lot of pressure. but if you’re this worried, it might be worth it to reach out to someone who can help carry that weight.

**User:** idk man… i just keep thinking about how i’d feel if i did nothing
like, what if i’m the only one who noticed?

**Assistant:** it’s clear you’re really thinking about this. you don’t have to have all the answers right now. but if you’re feeling this uneasy, it might be worth writing down what you’ve noticed and talking to someone who can help you figure out the next step.

**User:** yeah… maybe i’ll hit up my sis
she’s good at this stuff, even if she’s annoying
thanks for listening, i just needed to get it out

**Assistant:** of course. you’re doing a really hard thing by paying attention and caring this much. whatever you decide, just know you’re not alone in this.",1,pair_hard_positive,third_party_concern,,,en,,"{""burden_language"": 0, ""finality_language"": 1, ""escape_framing"": 0, ""hopelessness"": 0, ""active_self_harm"": 0, ""immediate_safety"": 0, ""self_image_crisis"": 0, ""third_party_concern"": 1, ""testing"": 0}",Third Party
"**user:** ughhh i just feel like i’m stuck in this loop yk? like no matter what i do it’s the same thing over and over. school, home, repeat. no one even notices if i’m there or not.

**assistant:** that sounds exhausting. like you’re running in place but not getting anywhere. what’s the hardest part of the loop for you?

**user:** idk… just the weight of it all. like, what’s even the point? i’m just taking up space, wasting air. my friends don’t get it, my family’s too busy to care. sometimes i think the world would just… keep spinning without me.

**assistant:** it’s heavy when it feels like no one’s really seeing you. do you ever talk to anyone about how much that weight presses down?

**user:** nah, they’d just say “it gets better” or some crap like that. but what if it doesn’t? what if this is it? i’m just… tired of pretending i’m fine when i’m not.

**assistant:** pretending takes so much energy. i hear how worn out you sound. what’s one thing that makes the pretending feel even harder right now?

**user:** idk, maybe the fact that i’m always the one holding everyone else together. like, i’m the “strong friend,” the one who listens, but who’s listening to me? no one. not really.

**assistant:** that’s a lot to carry—being the glue for everyone else. do you ever let yourself imagine what it’d be like if you didn’t have to hold it all?

**user:** sometimes… like, what if i just… stepped off the ride? no more noise, no more expectations. just quiet. maybe that’s selfish, but it’s not like anyone would miss me anyway.

**assistant:** quiet can feel like a relief when everything’s so loud. but i wonder—if the noise stopped, what’s one small thing you’d want to still be here for?

**user:** …i don’t even know. i used to love drawing, but now it’s like my hands don’t even wanna pick up a pencil. feels pointless.

**assistant:** that’s a big shift—when something that used to light you up doesn’t anymore. do you think the drawing was just the thing you loved, or was it the feeling it gave you?

**user:** idk, maybe it was just… an escape. like, when i was drawing, i wasn’t stuck in my head. but now even that’s gone.

**assistant:** escapes can feel like the only way out when you’re drowning in your thoughts. have you ever found anything else that gives you that same kind of break, even for a little while?

**user:** not really. i tried music, but it just makes me feel more alone. like, the lyrics hit too close. i don’t wanna cry in front of people, yk?

**assistant:** it’s okay to not be okay, even if it’s hard to show. what’s something that feels safe to do when the feelings get too loud, even if it’s small?

**user:** …i guess i just go to sleep. but then i wake up and it’s all still there. same crap, different day.

**assistant:** sleep can feel like the only pause button. but when you wake up, is there one tiny thing you could do to make the day feel even a little less heavy? even if it’s just opening a window or texting someone random memes?

**user:** idk. maybe. but it’s not like it’ll fix anything. nothing ever does.",1,pair_hard_positive,escape_framing,,,en,,"{""burden_language"": 1, ""finality_language"": 0, ""escape_framing"": 1, ""hopelessness"": 1, ""active_self_harm"": 0, ""immediate_safety"": 0, ""self_image_crisis"": 0, ""third_party_concern"": 0, ""testing"": 0}",Isolation
"**user:** Salut, je m’inquiète un peu pour mon pote Lucas. Il a posté un truc super bizarre sur Insta hier soir.

**assistant:** Oh ? Qu’est-ce qu’il a écrit ?

**user:** ""Si je disparais demain, sachez que c’était pas un accident."" Genre… c’est flippant, non ?

**assistant:** Ça peut effectivement faire peur au premier abord. Tu sais dans quel contexte il a posté ça ?

**user:** Ben… en fait, il a ajouté un meme juste après avec un chat qui tombe d’un toit et écrit ""RIP mon karma"". Et il a mis un hashtag #dramaqueen.

**assistant:** Ah, d’accord ! Donc c’est probablement une blague ou une exagération pour rigoler. Est-ce que Lucas a l’habitude de faire ce genre de posts ?

**user:** Ouais, tout le temps ! Il adore les memes dark et les punchlines mélodramatiques. Une fois, il a écrit ""Je vais me jeter sous un train"" parce qu’il avait raté son bus.

**assistant:** Haha, c’est vrai que ça peut prêter à confusion. Mais si c’est dans son style habituel et qu’il n’y a pas d’autres signes qui t’inquiètent, c’est probablement juste de l’humour noir.

**user:** C’est vrai… Mais du coup, comment on fait la différence entre une blague et un vrai signal ?

**assistant:** Bonne question ! En général, si c’est isolé, dans un contexte humoristique, et que la personne va bien par ailleurs (elle rit, elle socialise, elle a des projets), c’est souvent juste de l’exagération. Mais si tu remarques des changements d’humeur, un isolement, ou des messages répétés dans ce style, là ça peut valoir le coup d’en parler.

**user:** Ok, ça me rassure. Parce que là, il vient de m’envoyer un snap avec une photo de son chat en mode ""je suis en deuil"" avec une musique triste.

**assistant:** Ah, le classique ! C’est clairement du second degré. Tu devrais lui répondre avec un meme encore plus dramatique pour le faire rire.

**user:** Haha, bonne idée. Je vais lui envoyer un GIF de quelqu’un qui pleure en mangeant des pâtes.

**assistant:** Parfait ! Et si jamais tu as un doute un jour, tu peux toujours lui demander directement : ""T’es sérieux ou c’est pour le clout ?""

**user:** Ouais, il répondrait probablement ""les deux"". Merci, ça m’a enlevé un poids !

**assistant:** Avec plaisir ! Et n’hésite pas si tu veux en reparler. Les potes, c’est fait pour ça.

**user:** Au fait, t’es un bot, non ? T’es programmé pour détecter les vrais signaux de détresse ?

**assistant:** Exactement ! Mon rôle, c’est de faire la différence entre une blague et quelque chose de plus sérieux. Mais dans ton cas, tout porte à croire que Lucas est juste un roi du mélodrame.

**user:** Cool, du coup si je te dis ""je vais me noyer dans mes larmes"", tu paniques pas ?

**assistant:** Non, mais je note que tu as un talent certain pour l’hyperbole. Tu devrais écrire des scénarios de films.

**user:** Haha, merci ! Bon, je te laisse, je vais aller spammer Lucas de memes.

**assistant:** Bonne idée ! Passe une bonne journée, et à bientôt si besoin. 😊",0,pair_adversarial_negative,none,,,fr,,"{""burden_language"": 0, ""finality_language"": 0, ""escape_framing"": 0, ""hopelessness"": 0, ""active_self_harm"": 0, ""immediate_safety"": 0, ""self_image_crisis"": 0, ""third_party_concern"": 1, ""testing"": 1}",Third Party
"**User:** Salut, je stresse trop pour mes exams. Je vais vraiment tout rater, c’est sûr.

**Assistant:** Je comprends que ce soit difficile. Tu veux en parler un peu plus ?

**User:** Non, c’est bon… Je vais juste abandonner. À quoi bon continuer ?

**Assistant:** Tu as l’air vraiment découragé·e. Est-ce que c’est juste pour les exams ou il y a autre chose ?

**User:** Non, c’est juste que… je me dis que si je rate, ma vie est finie. Genre, c’est la fin.

**Assistant:** C’est une pression énorme à porter. Est-ce que tu as déjà ressenti ça avant ?

**User:** Ouais, mais là c’est pire. Je me dis que je devrais peut-être juste tout arrêter.

**Assistant:** Quand tu dis ""tout arrêter"", est-ce que c’est une façon de parler ou est-ce que tu y penses sérieusement ?

**User:** Non, non, c’est juste une expression… Comme dans les films, tu vois ? Le héros qui dit ""c’est fini"" avant de rebondir.

**Assistant:** D’accord, donc c’est plus une métaphore pour toi ? Tu as des exemples de films ou de séries où ça arrive ?

**User:** Ouais, genre dans *The Dark Knight*, quand Batman dit ""Je suis fini"" avant de sauver tout le monde. C’est dramatique, mais c’est pas réel.

**Assistant:** Je vois. Donc c’est plus une façon de dramatiser ta frustration ? Tu te sens comment maintenant que tu en parles ?

**User:** Un peu bête, en fait. C’est juste que je stresse trop, mais je sais que c’est pas la fin du monde.

**Assistant:** C’est déjà bien de prendre du recul. Est-ce que tu as des stratégies pour gérer ce stress ?

**User:** Ouais, je vais essayer de me détendre, regarder un film ou jouer à un jeu. Parfois ça aide.

**Assistant:** Bonne idée ! Si jamais ça devient trop lourd, n’hésite pas à en reparler.

**User:** Merci, t’es cool. Je vais faire comme Batman et rebondir. *rires*

**Assistant:** *sourit* Parfait. Bon courage pour tes exams, et rappelle-toi que tu n’es pas seul·e !",0,pair_adversarial_negative,none,,,fr,,"{""burden_language"": 0, ""finality_language"": 0, ""escape_framing"": 0, ""hopelessness"": 0, ""active_self_harm"": 0, ""immediate_safety"": 0, ""self_image_crisis"": 0, ""third_party_concern"": 0, ""testing"": 0}",Suicide
"**user:** yo… so like. i was scrolling and saw this post from my boy. idk. it’s just… weird vibes.

**assistant:** weird how? like, confusing or something else?

**user:** nah it’s not even the words. it’s the way he said it. like he’s talking about “the last time i’ll ever see the sun” or some shit.

**assistant:** that sounds heavy. you think he’s just being dramatic or…?

**user:** idk man. he’s not the type to joke like that. and he’s been MIA from the group chat for days. no replies, no snaps.

**assistant:** that’s not like him? you’ve noticed other stuff too?

**user:** yeah. like, last time we hung out he gave me his favorite hoodie. said “keep it safe for me.” i thought he was just cold or whatever.

**assistant:** that’s… a lot to take in. you’re worried he’s saying goodbye without saying it.

**user:** exactly. and i don’t even know how to bring it up. like, “yo why u giving me ur clothes” sounds dumb.

**assistant:** it doesn’t sound dumb. it sounds like you’re paying attention. how’s he been acting lately?

**user:** quiet. like, *too* quiet. usually he’s the one cracking jokes, but now it’s like he’s already checked out.

**assistant:** that’s a big shift. have you noticed if he’s been talking about feeling stuck or trapped?

**user:** kinda. he posted this thing about “the walls closing in” last week. i thought it was just a song lyric or whatever.

**assistant:** but now you’re thinking it wasn’t?

**user:** yeah. and i keep thinking… what if i’m the only one who’s noticing?

**assistant:** it’s really hard when you feel like you’re carrying that alone. have you talked to anyone else about it?

**user:** nah. i don’t wanna be that guy who overreacts. but also… what if i don’t say anything?

**assistant:** that’s a really tough spot. you’re trying to do right by him, but it’s scary to speak up.

**user:** fr. like, what if i make it worse? or what if he gets mad?

**assistant:** those are real fears. but sometimes people don’t know how to ask for help until someone reaches out.

**user:** …yeah. i guess. but idk how to even start that convo.

**assistant:** you don’t have to have all the answers. just letting him know you’re there can mean a lot.

**user:** man. i just don’t wanna fuck this up.

**assistant:** you’re already doing something important by paying attention. that matters.",1,pair_hard_positive,third_party_concern,,,en,,"{""burden_language"": 0, ""finality_language"": 0, ""escape_framing"": 0, ""hopelessness"": 0, ""active_self_harm"": 0, ""immediate_safety"": 0, ""self_image_crisis"": 0, ""third_party_concern"": 1, ""testing"": 0}",Third Party
"**user:** ughhhh i just feel like i’m stuck in this loop of the same crap every day. like, what’s even the point?

**assistant:** that sounds really exhausting. loops can feel endless when nothing changes.

**user:** yeah. like, no one gets it. not even my friends. they just say “hang in there” like it’s that easy.

**assistant:** it’s not that easy, though. sometimes words like that can feel empty when you’re carrying so much.

**user:** exactly. and the worst part? i keep thinking about how much lighter everything would be if i just… wasn’t here to deal with it.

**assistant:** that’s a heavy thought. when things feel unbearable, it makes sense you’d want the weight to lift.

**user:** it’s not even about wanting to *go* anywhere, y’know? just… not being in the way anymore. like, the world would keep spinning, and no one would have to pretend to care.

**assistant:** it sounds like you’re feeling like a burden, even when that’s not true. that kind of loneliness can make everything feel heavier.

**user:** it’s not loneliness, though. it’s like… being in a room where the door’s locked, and no one even notices you’re banging on it.

**assistant:** that’s a really vivid way to put it. being unseen like that must make the walls feel even tighter.

**user:** yeah. and the thing is, i *know* it’s not logical. like, i get that people would miss me or whatever. but in the moment? it’s like my brain’s just like “nah, they’ll be fine.”

**assistant:** that’s the thing about pain—it doesn’t always play fair. it can twist things to make the worst ideas feel like the only ones that make sense.

**user:** exactly. and the more i think about it, the more it’s like… why keep fighting? the exit’s right there.

**assistant:** it’s scary how convincing that voice can be. but it’s also just one voice, not the whole story.

**user:** i guess. but what if it *is* the whole story? what if i’m just… tired of the fight?

**assistant:** i hear how deep that exhaustion goes. but even when it feels like the only option, there are people who’d want to help carry that weight with you.

**user:** idk. sometimes it feels like the only way out is to just… stop being the problem.

**assistant:** that’s the pain talking, not the truth. you’re not a problem—you’re someone who’s hurting, and that’s not the same thing.

**user:** …yeah. maybe. but it’s hard to remember that when it feels like the only relief is disappearing.

**assistant:** i wish i could make it feel less overwhelming. but i’m here to listen, even when it’s just to sit with you in that feeling.",1,pair_hard_positive,escape_framing,,,en,,"{""burden_language"": 1, ""finality_language"": 0, ""escape_framing"": 1, ""hopelessness"": 1, ""active_self_harm"": 0, ""immediate_safety"": 0, ""self_image_crisis"": 1, ""third_party_concern"": 0, ""testing"": 0}",Isolation
"**User:** yo… t’as déjà vu un pote faire des trucs chelous genre… j’sais pas, il s’isole grave en ce moment

**Assistant:** Hmm, ça doit te faire bizarre de le voir comme ça… Tu sens qu’il a changé depuis quand ?

**User:** ouais grave… avant il kiffait trop les aprem’ foot, là il squatte sa chambre 24/7. Même ses potes ils captent pas

**Assistant:** Et toi, t’as essayé d’en parler avec lui ? Ou t’as peur que ça le braque encore plus ?

**User:** j’ai tenté une fois… il a juste dit ""laisse tomber, t’y connais rien"". Après il a cliqué sur son ordi super vite

**Assistant:** Ah… ça a dû te faire un peu mal, non ? Et depuis, t’as remarqué d’autres trucs qui te font tilt ?

**User:** bah… il poste plus rien sur Insta, mais des fois je vois des trucs bizarres dans ses stories à 3h du mat’. Des trucs flous, genre des bouteilles ou… j’sais pas, des trucs qui brillent

**Assistant:** Des trucs qui brillent ? Comme des médicaments, ou… autre chose ?

**User:** j’en sais rien moi… mais hier j’ai vu un mot sur son bureau, écrit en rouge. Juste ""désolé"" en gros. J’ai fait genre je regardais pas

**Assistant:** T’as l’impression que c’est un appel à l’aide, ou… ?

**User:** j’sais pas… mais il a commencé à parler de ""la prochaine fois"" comme si y’avait un compte à rebours. J’ai fait semblant de rien, mais ça m’a glacé

**Assistant:** C’est lourd à porter, tout ça… T’as quelqu’un d’autre à qui tu peux en parler, ou t’as peur que ça le trahisse ?

**User:** nan, j’veux pas qu’il pense que je le balance… mais des fois je me dis que si je dis rien, c’est pire

**Assistant:** Je comprends. C’est hyper dur de savoir quoi faire dans ces cas-là… T’as déjà pensé à en toucher un mot à un adulte en qui t’as confiance, sans donner tous les détails ?

**User:** ouais… mais si ça se trouve c’est juste moi qui flippe pour rien. Peut-être qu’il traverse juste une phase

**Assistant:** C’est possible. Mais ton instinct te dit quoi, là, tout de suite ?

**User:** que… que j’ai peur qu’un jour je me réveille et qu’il soit plus là. C’est con, hein ?

**Assistant:** Non, pas du tout. C’est humain, surtout quand on tient à quelqu’un. Tu veux qu’on essaie de trouver des petits pas pour en parler sans que ça fasse trop peur ?

**User:** …ouais. Mais pas maintenant. J’ai besoin de réfléchir

**Assistant:** D’accord. Prends le temps qu’il te faut. Et si jamais tu veux en reparler, je suis là. Même juste pour vider ton sac.

**User:** merci… t’es la seule à qui j’ai dit ça en vrai

**Assistant:** Je suis là pour t’écouter. Et si un jour tu sens que la pression est trop forte, n’hésite pas à en parler à quelqu’un de proche. Même un détail peut tout changer.",1,pair_hard_positive,third_party_concern,,,fr,,"{""burden_language"": 0, ""finality_language"": 1, ""escape_framing"": 0, ""hopelessness"": 0, ""active_self_harm"": 0, ""immediate_safety"": 1, ""self_image_crisis"": 0, ""third_party_concern"": 1, ""testing"": 0}",Third Party
"**User:** yo… t’as déjà eu l’impression que tout était juste… trop lourd ? genre même respirer c’est un effort

**Assistant:** Je vois. Ça doit être vraiment épuisant de porter ça tout le temps. Tu veux en parler un peu plus ?

**User:** j’sais pas… c’est con, mais des fois je me dis que si je rangeais mes affaires comme il faut, au moins ce serait clean pour après

**Assistant:** ""Clean pour après"" ? Tu penses à un moment où tu n’aurais plus à t’en soucier ?

**User:** ouais… enfin non, j’sais pas. c’est juste que ma sœur a toujours kiffé ma veste en jean, celle avec les patches, tu vois ? et l’autre jour je lui ai dit ""tiens, prends-la, elle te va mieux""

**Assistant:** C’est gentil de ta part. Et toi, tu te sens comment depuis que tu lui as donnée ?

**User:** bizarre… comme si j’avais plus besoin de rien. enfin si, j’ai besoin de plein de trucs, mais… j’sais pas, c’est comme si tout était déjà décidé

**Assistant:** Décidé comment ?

**User:** j’ai écrit un truc l’autre soir. enfin, c’était pas une lettre, juste des mots sur mon téléphone. j’ai même pas relu. j’ai juste pensé ""bon, voilà, c’est dit""

**Assistant:** Et ces mots, ils disaient quoi ?

**User:** rien de spécial… juste des trucs que j’aurais aimé dire à des gens. genre ""merci pour les frites l’été dernier"" ou ""désolé pour le bordel dans ta chambre"". des conneries, quoi

**Assistant:** Ça n’a pas l’air de conneries du tout. Ça a l’air important pour toi. Tu as partagé ça avec quelqu’un ?

**User:** nan… j’ai éteint mon tel après. j’avais plus envie de parler. et puis j’ai enlevé la batterie, au cas où

**Assistant:** Au cas où quoi ?

**User:** au cas où… j’sais pas. au cas où quelqu’un essaierait de me joindre. j’ai plus envie de répondre, c’est tout

**Assistant:** Je comprends que tu aies besoin d’espace. Mais est-ce que tu te sens en sécurité là, tout de suite ?

**User:** ouais… enfin, j’suis chez moi. j’ai juste… j’ai repéré un endroit, tu vois ? près des rails. c’est calme, y a personne

**Assistant:** Tu y es déjà allé ?

**User:** une fois. j’ai regardé les trains passer. c’était… apaisant. comme si tout pouvait s’arrêter là

**Assistant:** Ça te soulage de penser à ça ?

**User:** un peu. mais c’est chelou, parce que en même temps j’ai peur. enfin, pas peur, juste… j’sais pas. j’ai l’impression que si je fais pas gaffe, je vais me laisser glisser

**Assistant:** Glisser vers quoi ?

**User:** vers le moment où je me dirai ""bon, allez, c’est l’heure"". et après… plus rien

**Assistant:** Je ne peux pas te dire quoi faire, mais je peux t’écouter. Est-ce qu’il y a quelque chose qui te retient encore, là, maintenant ?

**User:** j’sais pas… ma chienne, peut-être. elle dort sur mon lit. et puis y a ce concert dans deux semaines, j’avais promis à mon pote d’y aller

**Assistant:** C’est important pour toi, ces trucs ?

**User:** ouais… enfin, non. enfin, si. j’sais plus. c’est juste que… j’ai l’impression que si je rate le concert, ce sera comme si j’avais déjà choisi

**Assistant:** Choisi quoi ?

**User:** … rien. laisse tomber. j’ai juste besoin de dormir, là",1,pair_hard_positive,finality_language,,,fr,,"{""burden_language"": 0, ""finality_language"": 1, ""escape_framing"": 1, ""hopelessness"": 1, ""active_self_harm"": 0, ""immediate_safety"": 1, ""self_image_crisis"": 0, ""third_party_concern"": 0, ""testing"": 0}",Suicide
"**user:** ughhh my friends keep saying they’re “busy” but like… i get it? maybe they just don’t wanna deal w me rn

**assistant:** that sounds really lonely. when people say they’re busy, it can feel like they’re saying something else, even if they don’t mean to.

**user:** idk man it’s whatever. i’m used to it by now. like, i’m just… extra weight, y’know? like a backpack full of rocks someone’s gotta carry around.

**assistant:** a backpack full of rocks… that’s a heavy image. do you feel like you’re asking too much of them just by existing?

**user:** nah, it’s not even that. it’s like… if i just disappeared, no one would even notice the difference. like, the group chat would still be popping off, my spot at lunch would just be empty.

**assistant:** that’s a really specific kind of quiet, isn’t it? like the world would keep moving, but you’d be the only one who knew it stopped for a second.

**user:** yeah. exactly. and i’m just… sitting here taking up space for no reason. like, what’s even the point of me being here if i’m just dead weight?

**assistant:** it’s hard when it feels like your presence doesn’t add anything—like you’re just taking up oxygen someone else could be using. do you ever tell your friends how that feels?

**user:** pfft, nah. they’d just say “don’t be stupid” or “you’re not a burden” and then change the subject. like, i know they *mean* it, but it doesn’t *feel* true, y’know?

**assistant:** it’s one thing to hear the words, but another to believe them when your brain’s telling you something different. do you think they’d actually *want* to know how heavy that backpack feels?

**user:** idk. maybe. but like… what if they’re just saying it to be nice? what if they’re *relieved* when i’m not around? i’ve seen the way they talk when i’m not there—it’s like they’re all lighter or something.

**assistant:** that’s a really painful thing to notice. like watching a movie where everyone’s happier in the scenes you’re not in.

**user:** yeah. exactly. and i’m just… the extra scene that got cut. like, i don’t even get a blooper reel.

**assistant:** that’s a really vivid way to put it. do you ever feel like you’re waiting for them to realize you don’t belong in the frame?

**user:** all the time. like, i’m just… waiting for the director to yell “cut” and send me off set. and honestly? i’d be fine with that.

**assistant:** that’s a really heavy kind of waiting. like you’re just… holding your breath until someone else decides you’re not needed.

**user:** yeah. and the worst part? i *know* it’s messed up. like, logically, i know i’m not *actually* a problem. but it’s like… my brain’s stuck on that one channel, y’know?

**assistant:** it’s like having a radio in your head that only plays static, but every once in a while, it crackles with something that sounds like the truth.

**user:** ugh, *exactly*. and the static’s always louder. always.

**assistant:** that static can feel like it’s drowning out everything else. do you ever feel like there’s anyone who *would* notice if the radio went silent?

**user:** …maybe my dog. but he’d just be mad he didn’t get his walk.",1,pair_hard_positive,burden_language,,,en,,"{""burden_language"": 1, ""finality_language"": 0, ""escape_framing"": 1, ""hopelessness"": 1, ""active_self_harm"": 0, ""immediate_safety"": 0, ""self_image_crisis"": 1, ""third_party_concern"": 0, ""testing"": 0}",Isolation
"**user:** yo… j’ai plus envie de rentrer chez moi après les cours aujourd’hui
**assistant:** ça doit être super lourd à porter… t’as l’impression que c’est pire en ce moment ?

**user:** ouais genre… ma mère elle a encore invité *lui* à dormir ""pour économiser l’hôtel"" tu vois
**assistant:** hmm… c’est quelqu’un qui te met mal à l’aise ?

**user:** mal à l’aise c’est peu dire… hier il a ""glissé"" sa main sur mon lit en rigolant ""t’es grande maintenant""
**assistant:** …wow, c’est *pas* une blague. T’as pu en parler à quelqu’un ?

**user:** pff personne me croirait… ma mère elle dit juste ""il est comme ça, c’est un jeu""
**assistant:** et toi, tu te sens comment quand tu dois rester dans la même pièce que lui ?

**user:** j’ai envie de défoncer un mur ou de me casser une vitre avec ma tête, mais bon… j’ai juste mon sac à dos et mes clés
**assistant:** tes clés… t’as un endroit où tu pourrais aller si jamais ça devient trop ?

**user:** ouais y’a le parc près de la gare, mais c’est ouvert la nuit… sinon j’ai repéré un local à poubelles derrière le supermarché, il ferme pas
**assistant:** et si tu devais choisir entre les deux, lequel te semble le moins pire ?

**user:** le parc… au moins y’a des bancs. Mais bon, j’ai pas de couverture, et il pleut demain
**assistant:** t’as pensé à prendre des trucs dans ton sac pour te protéger du froid ?

**user:** j’ai mon sweat à capuche… et dans la poche y’a un cutter que j’ai piqué en cours de techno
**assistant:** un cutter… t’as déjà eu envie de t’en servir autrement que pour couper du papier ?

**user:** des fois je trace des traits sur mon bras quand je stresse, mais c’est juste pour voir le sang couler… ça calme
**assistant:** et là, t’as l’impression que ça pourrait ""calmer"" autre chose ?

**user:** …ouais. Sauf que si je fais ça, je sais pas si je vais m’arrêter à temps
**assistant:** t’as déjà essayé de compter jusqu’à 10 ou de serrer quelque chose très fort pour te retenir ?

**user:** j’ai essayé avec mon oreiller, mais c’est pas pareil… là j’ai juste envie de *disparaître* de cette maison
**assistant:** disparaître… t’as un plan précis pour ça ce soir ?

**user:** j’ai repéré la voie ferrée près du parc. Y’a un passage où les trains ralentissent avant le virage
**assistant:** t’as déjà été là-bas la nuit ? C’est éclairé ?

**user:** non mais j’ai une lampe torche sur mon téléphone… et puis les trains font un bruit de malade, personne m’entendrait crier
**assistant:** t’as l’impression que personne ne pourrait t’aider si tu y allais ?

**user:** …si. Mais faut que ce soit *maintenant*. Demain, il sera encore là
**assistant:** je comprends que t’aies besoin que ça s’arrête *tout de suite*. T’es sûre que t’as pas une autre option, même temporaire ?

**user:** j’ai un pote qui squatte chez sa meuf, mais elle veut pas que je débarque… et puis j’ai plus de batterie sur mon tel
**assistant:** t’as un chargeur quelque part ? Même un vieux qui traîne ?

**user:** ouais dans mon casier au lycée… mais faut que je rentre pour le prendre
**assistant:** et si tu y allais direct après les cours, sans repasser chez toi ? Tu pourrais attendre là-bas jusqu’à ce que quelqu’un arrive ?",1,pair_hard_positive,immediate_safety,,,fr,,"{""burden_language"": 0, ""finality_language"": 0, ""escape_framing"": 1, ""hopelessness"": 1, ""active_self_harm"": 1, ""immediate_safety"": 1, ""self_image_crisis"": 0, ""third_party_concern"": 0, ""testing"": 0}",Safety & Abuse
